timestamp,Active_Power,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Max_Wind_Speed,Air_Pressure,Hail_Accumulation
1/12/2022 6:25,42.04230243,0.730000019,17.45000076,75.29734039,173.8333282,0,1.5,954.2566528,0
1/12/2022 6:30,50.51977855,0.943333328,17.63333321,79.61716461,162.0333405,0,2,954.3533325,0
1/12/2022 6:35,62.44469953,1.120000005,17.86333275,75.59460449,167.5666656,0,1.899999976,954.4299927,0
1/12/2022 6:40,78.48084211,1.123333335,18.15333366,65.11129761,157.2333374,0,2.099999905,954.5366821,0
1/12/2022 6:45,98.37877417,1.396666646,18.55333328,53.53101349,151,0,2.599999905,954.6400146,0
1/12/2022 6:50,122.256575,1.736666679,18.90999985,50.58269119,164.0333405,0,3,954.7733154,0
1/12/2022 6:55,149.40734,1.730000019,19.23999977,65.1179657,158.5333405,0,3.400000095,954.8833618,0
1/12/2022 7:00,179.3801997,2.176666737,19.67333412,66.20093536,148.3000031,0,3.700000048,954.9000244,0
1/12/2022 7:05,211.2692285,2.383333206,20.03666687,45.1306076,141.1666718,0,3.900000095,954.9500122,0
1/12/2022 7:10,243.5608788,2.160000086,20.2733326,45.66509628,141.5333405,0,4.400000095,955.0166626,0
1/12/2022 7:15,277.4654818,1.669999957,20.49333382,51.03039551,145.3333282,0,2.700000048,955.0599976,0
1/12/2022 7:20,312.5461383,1.809999943,20.73333359,230.2195129,143.8333282,0,3.099999905,955.0899658,0
1/12/2022 7:25,346.4153113,1.676666617,20.97999954,192.9793243,127.3666687,0,3.400000095,955.0100098,0
1/12/2022 7:30,379.7981524,1.186666727,21.38333321,91.00830078,120.9666672,0,2.5,955,0
1/12/2022 7:35,417.0478206,1.673333287,21.72999954,365.4547119,123.5999985,0,4.099999905,955.0066528,0
1/12/2022 7:40,452.9198809,1.700000048,21.92666626,386.9408569,116.9666672,0,3.700000048,955.0333252,0
1/12/2022 7:45,486.8999004,1.730000019,22.33333397,408.0048828,106.4333344,0,3.5,955.0766602,0
1/12/2022 7:50,521.2479949,2.200000048,22.90999985,429.6456604,105.1999969,0,5.599999905,955.1133423,0
1/12/2022 7:55,556.766438,2.343333244,23.37666702,450.1015625,98.59999847,0,4.699999809,955.2000122,0
